TableId,TableName,GeometryType,CRS
tn_alpt,표고점,POINT,EPSG:5179
tn_arafc,면형공항시설,POLYGON,EPSG:5179
tn_arhfc,면형항만시설,POLYGON,EPSG:5179
tn_arpgr,면형지형,POLYGON,EPSG:5179
tn_arrfc,면형도로시설,POLYGON,EPSG:5179
tn_arsfc,면형구조시설,POLYGON,EPSG:5179
tn_arwfc,면형철도시설,POLYGON,EPSG:5179
tn_arwtcors_fclty,면형수로시설,POLYGON,EPSG:5179
tn_bcycl_ctln,자전거도로중심선,LINESTRING,EPSG:5179
tn_buld,건물,POLYGON,EPSG:5179
tn_buld_adcls,건물부속시설,LINESTRING,EPSG:5179
tn_ctrln,등고선,LINESTRING,EPSG:5179
tn_ctrlpnt,기준점,POINT,EPSG:5179
tn_farm,목장,POLYGON,EPSG:5179
tn_fclty_zone_bndry,시설구역경계,POLYGON,EPSG:5179
tn_fercs,나루노선,LINESTRING,EPSG:5179
tn_ferdk,나루,POINT,EPSG:5179
tn_fmlnd_bndry,경지경계,POLYGON,EPSG:5179
tn_ftpth_bndry,보도경계면,POLYGON,EPSG:5179
tn_ftpth_ctln,보도중심선,LINESTRING,EPSG:5179
tn_lkmh,호소,POLYGON,EPSG:5179
tn_lnafc,선형공항시설,LINESTRING,EPSG:5179
tn_lnpgr,선형지형,LINESTRING,EPSG:5179
tn_lnrfc,선형도로시설,LINESTRING,EPSG:5179
tn_lnsfc,선형구조시설,LINESTRING,EPSG:5179
tn_lnwtcors_fclty,선형수로시설,LINESTRING,EPSG:5179
#tn_mapindx_5k,도엽인덱스5K,POLYGON,EPSG:5179
tn_ptafc,점형공항시설,POINT,EPSG:5179
tn_pthfc,점형항만시설,POINT,EPSG:5179
tn_ptpgr,점형지형,POINT,EPSG:5179
tn_ptrfc,점형도로시설,POINT,EPSG:5179
tn_ptsfc,점형구조시설,POINT,EPSG:5179
tn_ptvgt_fclty,점형식생시설,POINT,EPSG:5179
tn_ptwfc,점형철도시설,POINT,EPSG:5179
tn_ptwtcors_fclty,점형수로시설,POINT,EPSG:5179
tn_rft_fclty,옥상시설물,POLYGON,EPSG:5179
tn_river_bndry,하천경계,POLYGON,EPSG:5179
tn_river_bt,실폭하천,POLYGON,EPSG:5179
tn_river_ctln,하천중심선,LINESTRING,EPSG:5179
tn_rlroad_bndry,철도경계면,POLYGON,EPSG:5179
tn_rlroad_ctln,철도중심선,LINESTRING,EPSG:5179
tn_rodway_bndry,도로경계면,POLYGON,EPSG:5179
tn_rodway_bndryln,도로경계선,LINESTRING,EPSG:5179
tn_rodway_ctln,도로중심선,LINESTRING,EPSG:5179
tn_shorline,해안선,LINESTRING,EPSG:5179
