TableId,FieldName,FieldAlias,DataType,Length,UK,FK,NN,RefTable,RefColumn
tn_alpt,objectid,시스템고유아이디,integer,,,,Y,,
tn_alpt,ncid,변동정보관리아이디,text,20,,,,,
tn_alpt,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_alpt,alpt_se,표고점구분,text,6,,,Y,,
tn_alpt,exprs_angl,표현각도,real,"5,2",,,Y,,
tn_alpt,alpt_hgt,표고점높이,real,"7,2",,,Y,,
tn_alpt,rdscl_se,축척구분,text,6,,,Y,,
tn_alpt,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_alpt,objfltn_se,객체변동구분,text,6,,,Y,,
tn_alpt,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_alpt,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_alpt,created_user,생성자계정명,text,255,,,,,
tn_alpt,created_date,최초생성일,date,,,,,,
tn_alpt,last_edited_user,마지막편집계정명,text,255,,,,,
tn_alpt,last_edited_date,마지막편집일,date,,,,,,
tn_arafc,objectid,시스템고유아이디,integer,,,,Y,,
tn_arafc,ncid,변동정보관리아이디,text,20,,,,,
tn_arafc,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arafc,pg_apfc_se,면형공항시설구분,text,6,,,Y,,
tn_arafc,feat_nm,지형지물명칭,text,200,,,,,
tn_arafc,rdscl_se,축척구분,text,6,,,Y,,
tn_arafc,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arafc,objfltn_se,객체변동구분,text,6,,,Y,,
tn_arafc,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_arafc,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_arafc,created_user,생성자계정명,text,255,,,,,
tn_arafc,created_date,최초생성일,date,,,,,,
tn_arafc,last_edited_user,마지막편집계정명,text,255,,,,,
tn_arafc,last_edited_date,마지막편집일,date,,,,,,
tn_arhfc,objectid,시스템고유아이디,integer,,,,Y,,
tn_arhfc,ncid,변동정보관리아이디,text,20,,,,,
tn_arhfc,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arhfc,pg_ptfc_se,면형항만시설구분,text,6,,,Y,,
tn_arhfc,feat_nm,지형지물명칭,text,200,,,,,
tn_arhfc,rdscl_se,축척구분,text,6,,,Y,,
tn_arhfc,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arhfc,objfltn_se,객체변동구분,text,6,,,Y,,
tn_arhfc,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_arhfc,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_arhfc,created_user,생성자계정명,text,255,,,,,
tn_arhfc,created_date,최초생성일,date,,,,,,
tn_arhfc,last_edited_user,마지막편집계정명,text,255,,,,,
tn_arhfc,last_edited_date,마지막편집일,date,,,,,,
tn_arpgr,objectid,시스템고유아이디,integer,,,,Y,,
tn_arpgr,ncid,변동정보관리아이디,text,20,,,,,
tn_arpgr,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arpgr,pg_tpf_se,면형지형구분,text,6,,,Y,,
tn_arpgr,feat_nm,지형지물명칭,text,200,,,,,
tn_arpgr,rdscl_se,축척구분,text,6,,,Y,,
tn_arpgr,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arpgr,objfltn_se,객체변동구분,text,6,,,Y,,
tn_arpgr,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_arpgr,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_arpgr,created_user,생성자계정명,text,255,,,,,
tn_arpgr,created_date,최초생성일,date,,,,,,
tn_arpgr,last_edited_user,마지막편집계정명,text,255,,,,,
tn_arpgr,last_edited_date,마지막편집일,date,,,,,,
tn_arrfc,objectid,시스템고유아이디,integer,,,,Y,,
tn_arrfc,ncid,변동정보관리아이디,text,20,,,,,
tn_arrfc,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arrfc,pg_rdfc_se,면형도로시설구분,text,6,,,Y,,
tn_arrfc,feat_nm,지형지물명칭,text,200,,,,,
tn_arrfc,pgrfcph_se,면형도로시설위상관계구분,text,6,,,Y,,
tn_arrfc,pgrfcmt_se,면형도로시설재질구분,text,6,,,Y,,
tn_arrfc,fclty_len,시설물길이,real,"7,2",,,,,
tn_arrfc,fclty_bt,시설물폭,real,"7,2",,,,,
tn_arrfc,fclty_hgt,시설물높이,real,"5,2",,,,,
tn_arrfc,fclty_cpct,시설물수용량,integer,,,,,,
tn_arrfc,instl_ymd,설치일자,text,8,,,,,
tn_arrfc,ftp_se,보도구분,text,6,,,Y,,
tn_arrfc,rvr_nm,하천명칭,text,200,,,,,
tn_arrfc,prm_wght,허용중량,real,"7,2",,,,,
tn_arrfc,rdscl_se,축척구분,text,6,,,Y,,
tn_arrfc,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arrfc,objfltn_se,객체변동구분,text,6,,,Y,,
tn_arrfc,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_arrfc,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_arrfc,created_user,생성자계정명,text,255,,,,,
tn_arrfc,created_date,최초생성일,date,,,,,,
tn_arrfc,last_edited_user,마지막편집계정명,text,255,,,,,
tn_arrfc,last_edited_date,마지막편집일,date,,,,,,
tn_arsfc,objectid,시스템고유아이디,integer,,,,Y,,
tn_arsfc,ncid,변동정보관리아이디,text,20,,,,,
tn_arsfc,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arsfc,pg_stfc_se,면형구조시설구분,text,6,,,Y,,
tn_arsfc,feat_nm,지형지물명칭,text,200,,,,,
tn_arsfc,fclty_len,시설물길이,real,"7,2",,,,,
tn_arsfc,fclty_bt,시설물폭,real,"7,2",,,,,
tn_arsfc,fclty_hgt,시설물높이,real,"5,2",,,,,
tn_arsfc,fclty_area,시설물면적,real,"9,2",,,,,
tn_arsfc,usg,용도,text,50,,,,,
tn_arsfc,mnginst_cd,관리기관코드,text,6,,,Y,,
tn_arsfc,rdscl_se,축척구분,text,6,,,Y,,
tn_arsfc,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arsfc,objfltn_se,객체변동구분,text,6,,,Y,,
tn_arsfc,fbcbzet_nm,제작업체명,text,100,,,Y,,
tn_arsfc,globalid,시스템운영용고유객체관리번호,text,38,,,Y,,
tn_arsfc,created_user,생성자계정명,text,255,,,,,
tn_arsfc,created_date,최초생성일,date,,,,,,
tn_arsfc,last_edited_user,마지막편집계정명,text,255,,,,,
tn_arsfc,last_edited_date,마지막편집일,date,,,,,,
tn_arwfc,objectid,시스템고유아이디,integer,,,,Y,,
tn_arwfc,ncid,변동정보관리아이디,text,20,,,,,
tn_arwfc,nf_id,국가기본도고유식별자아이디,text,17,Y,,,,
tn_arwfc,pg_rlfc_se,면형철도시설구분,text,6,,,Y,,
tn_arwfc,feat_nm,지형지물명칭,text,200,,,,,
tn_arwfc,rdscl_se,축척구분,text,6,,,Y,,
tn_arwfc,mdsvymt_se,수정측량방법구분,text,1,,,Y,,
tn_arwfc,objfltn_se,객체변동구분,text,6,,,Y,,
