TableId,TableName,GeometryType,객체중복,객체간겹침,자체꼬임,슬리버,짧은객체,작은면적객체,홀 폴리곤 오류,최소정점개수,스파이크,자기중첩,언더슛,오버슛
tn_alpt,표고점,POINT,Y,N,N,N,N,N,N,Y,N,N,N,N
tn_arafc,면형공항시설,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arhfc,면형항만시설,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arpgr,면형지형,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arrfc,면형도로시설,MULTIPOLYGON,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arsfc,면형구조시설,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arwfc,면형철도시설,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_arwtcors_fclty,면형수로시설,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_bcycl_ctln,자전거도로중심선,MULTILINESTRING,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y
tn_buld,건물,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_buld_adcls,건물부속시설,MULTILINESTRING,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y
tn_buld_ctpt,건물중심점,POINT,Y,N,N,N,N,N,N,Y,N,N,N,N
tn_ctrln,등고선,MULTILINESTRING,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y
tn_ctrlpnt,기준점,POINT,Y,N,N,N,N,N,N,Y,N,N,N,N
tn_farm,목장,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_fclty_zone_bndry,시설구역경계,MULTIPOLYGON,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
tn_fercs,나루노선,MULTILINESTRING,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y
