CodeSetId,CodeValue,Label
객체변동구분,OFJ001,객체생성
객체변동구분,OFJ002,공간도형과 속성을 함께 수정
객체변동구분,OFJ003,공간도형만 수정
객체변동구분,OFJ004,공간도형 분할
객체변동구분,OFJ005,공간도형 합병
객체변동구분,OFJ006,위치 이동
객체변동구분,OFJ007,속성만 수정
객체변동구분,OFJ008,객체 삭제
객체변동구분,OFJ999,미수정 객체
건물구분,BDG001,일반주택
건물구분,BDG002,연립주택
건물구분,BDG003,아파트
건물구분,BDG004,주택외건물
건물구분,BDG005,무벽건물
건물구분,BDG006,온실
건물구분,BDG007,공사중건물
건물구분,BDG008,가건물
건물기호구분,BSB001,특별시청
건물기호구분,BSB002,광역시청
건물기호구분,BSB003,도청
건물기호구분,BSB004,시청
건물기호구분,BSB005,군청
건물기호구분,BSB006,구청
건물기호구분,BSB007,읍사무소
건물기호구분,BSB008,주민센터
건물기호구분,BSB009,면사무소
건물기호구분,BSB010,(치안행정)미분류
건물기호구분,BSB011,법원
건물기호구분,BSB012,경찰청
건물기호구분,BSB013,경찰서
건물기호구분,BSB014,"파출소,지서"
건물기호구분,BSB015,소방서
건물기호구분,BSB016,보건소
건물기호구분,BSB017,세무서
건물기호구분,BSB018,세관
건물기호구분,BSB019,우체국
건물기호구분,BSB020,"기상대, 측후소"
건물기호구분,BSB021,전화국
건물기호구분,BSB022,병무청
건물기호구분,BSB023,기타관공서
건물기호구분,BSB024,농업기술센터
건물기호구분,BSB025,지방산림청
건물기호구분,BSB026,한국도로공사
건물기호구분,BSB027,한국토지주택공사
건물기호구분,BSB028,한국농어촌공사
건물기호구분,BSB029,공 장
건물기호구분,BSB030,시장
건물기호구분,BSB031,백화점
건물기호구분,BSB032,관광음식점
건물기호구분,BSB033,양배수장
건물기호구분,BSB034,축사
건물기호구분,BSB035,종축장
건물기호구분,BSB036,도축장
건물기호구분,BSB037,정미소
건물기호구분,BSB038,하수종말처리장기호
건물기호구분,BSB039,공단폐수처리장기호
건물기호구분,BSB040,축산폐수처리장기호
건물기호구분,BSB041,농공단지오폐수기호
건물기호구분,BSB042,간이오수처리장기호
건물기호구분,BSB043,분뇨처리장기호
건물기호구분,BSB044,학교
건물기호구분,BSB045,"유치원, 유아원"
건물기호구분,BSB046,도서관
건물기호구분,BSB047,실내체육관
건물기호구분,BSB048,학원
건물기호구분,BSB049,기숙사
건물기호구분,BSB050,교회
건물기호구분,BSB051,성당
건물기호구분,BSB052,절
건물기호구분,BSB053,기타종교시설
건물기호구분,BSB054,박물관
건물기호구분,BSB055,미술관
건물기호구분,BSB056,공회당
건물기호구분,BSB057,TV방송국
건물기호구분,BSB058,라디오 방송국
건물기호구분,BSB059,신문사
건물기호구분,BSB060,잡지사
건물기호구분,BSB061,CATV방송국
건물기호구분,BSB062,호텔
건물기호구분,BSB063,여관
건물기호구분,BSB064,콘도미니엄
건물기호구분,BSB065,목욕탕
건물기호구분,BSB066,고속버스터미널
건물기호구분,BSB067,시외버스터미널
건물기호구분,BSB068,창고
건물기호구분,BSB069,공항
건물기호구분,BSB070,자동차정비수리소
건물기호구분,BSB071,세차장
건물기호구분,BSB072,은행
건물기호구분,BSB073,협동조합
건물기호구분,BSB074,기타금융기관
건물기호구분,BSB075,보험회사
건물기호구분,BSB076,일반병원
건물기호구분,BSB077,결핵병원
건물기호구분,BSB078,나병원
건물기호구분,BSB079,정신병원
건물기호구분,BSB080,약국
건물기호구분,BSB081,아동상담소
