RuleId,NewRuleId,Phase,Description
,COM_OMS_TBL_001,1,필수 테이블 누락 (데이터 없음)
SCH_COL_MISSING,LOG_CNC_SCH_001,2,필수 컬럼(구조) 누락
SCH_VAL_NULL,COM_OMS_ATR_001,2,필수 속성값(Value) 누락 (Not Null)
SCH_VAL_DUPLICATE,LOG_DOM_ATR_001,2,속성값 중복 (Unique Key)
SCH_FK_VIOLATION,LOG_CNC_SCH_002,2,외래키 참조 위반
GEOM_DUPLICATE,LOG_TOP_GEO_001,3,지오메트리 중복
GEOM_OVERLAP,LOG_TOP_GEO_002,3,지오메트리 겹침
GEOM_SELF_INTERSECTION,LOG_TOP_GEO_003,3,지오메트리 자체 꼬임
GEOM_SLIVER,LOG_TOP_GEO_004,3,슬리버 폴리곤
GEOM_SHORT_LINE,LOG_TOP_GEO_005,3,짧은 선 객체
GEOM_SMALL_AREA,LOG_TOP_GEO_006,3,작은 면적 객체
GEOM_HOLE_ERROR,LOG_TOP_GEO_007,3,홀 폴리곤 오류
GEOM_MIN_VERTEX,LOG_TOP_GEO_008,3,최소 정점 개수 부족
GEOM_SPIKE,LOG_TOP_GEO_009,3,스파이크(Spike)
GEOM_SELF_OVERLAP,LOG_TOP_GEO_010,3,자기 중첩
GEOM_UNDERSHOOT,LOG_TOP_GEO_011,3,언더슛 (미달)
GEOM_OVERSHOOT,LOG_TOP_GEO_012,3,오버슛 (초과)
ATTR_CODE_BULD,THE_CLS_ATR_001,4,건물 용도 코드 오류
ATTR_NOTZERO_FLOOR,LOG_DOM_ATR_002,4,층수 0 금지 (도메인)
ATTR_PNU_19LEN,LOG_FMT_ATR_001,4,PNU 19자리 포맷
ATTR_ALPT_LT2000,LOG_DOM_ATR_003,4,표고점 높이 범위
ATTR_ALPT_ZERO_EXPLICIT,LOG_DOM_ATR_004,4,표고점 높이 0 금지
CTRLN_HGT_LT2000,LOG_DOM_ATR_005,4,등고선 높이 범위
CTRLN_HGT_MUL5,LOG_DOM_ATR_006,4,등고선 높이 5 배수
CTRLN_HGT_MUL25_CODE,LOG_DOM_ATR_007,4,등고선 높이 25 배수 (조건부)
ATTR_FEATNM_KR_TYPO,THE_ATT_ATR_001,4,지형지물명칭 오타
ATTR_BATCNM_KR_TYPO,THE_ATT_ATR_002,4,부명칭 오타
ATTR_BLDHGT_BASE_GT_MAX,LOG_CNC_ATR_001,4,기본높이 > 최고높이 (논리 모순)
ATTR_BLDHGT_MAX_GT_FAC,LOG_CNC_ATR_002,4,최고높이 > 시설물높이 (논리 모순)
CTRLN_ROAD_BT_RDS014_EQ15,LOG_DOM_ATR_008,4,도로폭 1.5 고정 (조건부)
CTRLN_ROAD_BT_RDS010_RANGE,LOG_DOM_ATR_009,4,도로폭 범위 (조건부)
CTRLN_ROADSE_NAME_NO_NOTNULL,COM_OMS_ATR_002,4,도로명/번호 필수 (조건부)
CTRLN_ROAD_LANE_MIN,LOG_DOM_ATR_010,4,차로수 최소값
CTRLN_ROAD_LANE_RDS010_EQ1,LOG_DOM_ATR_011,4,차로수 1 고정 (조건부)
CTRLN_ROAD_LANE_RDS014_EQ1,LOG_DOM_ATR_012,4,차로수 1 고정 (조건부)
CTRLN_ROAD_BT_MAJOR_GE30,LOG_DOM_ATR_013,4,도로폭 3.0 이상 (조건부)
BULD_HEIGHT_NEW_NOTNULL,COM_OMS_ATR_003,4,신규건물 높이 필수
BULD_HEIGHT_LOWEST_GT_BASE,LOG_CNC_ATR_003,4,최저높이 > 기본높이 (논리 모순)
BULD_FEAT_NM_NULL,LOG_DOM_ATR_014,4,명칭 NULL 필수 (조건부)
